STATE/UT,CRIME HEAD,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Andhra Pradesh,"FOREST ACT, 1927",40,42,29,13,26,114,223,227,112,183,45,33,29,41,28,43
Arunachal Pradesh,"FOREST ACT, 1927",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Assam,"FOREST ACT, 1927",4,29,23,10,24,2,20,26,10,31,67,14,14,11,26,21
Bihar,"FOREST ACT, 1927",35,45,129,39,36,24,44,53,28,4,34,56,83,131,159,109
Chattisgarh,"FOREST ACT, 1927",8,6,4,5,13,7,7,14794,1,0,0,16,13,7,2,5
Goa,"FOREST ACT, 1927",2,1,0,0,0,0,0,1,0,0,0,0,2,3,0,0
Gujarat,"FOREST ACT, 1927",2,0,4,2,3,12,4,3,1,7,0,1,1,2,0,0
Haryana,"FOREST ACT, 1927",2,2,2,0,0,2,3,0,6,9,35,0,0,0,0,3
Himachal Pradesh,"FOREST ACT, 1927",234,205,242,236,161,1510,168,155,134,101,157,279,236,209,177,197
Jammu & Kashmir,"FOREST ACT, 1927",5,27,2,20,13,10,14,7,8,5,0,6,8,11,11,4
Jharkhand,"FOREST ACT, 1927",86,84,200,88,127,115,235,235,144,198,137,38,47,38,47,42
Karnataka,"FOREST ACT, 1927",138,140,148,135,96,91,100,142,165,135,109,382,275,211,164,198
Kerala,"FOREST ACT, 1927",17,2,0,0,1,11,8,9,22,12,15,74,80,42,66,56
Madhya Pradesh,"FOREST ACT, 1927",44,45,30,45,32,29,19,11,10,16,21,122,97,71,34,53
Maharashtra,"FOREST ACT, 1927",56,47,41,40,37,16,30,19,25,18,19,43,48,57,67,65
Manipur,"FOREST ACT, 1927",0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0
Meghalaya,"FOREST ACT, 1927",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Mizoram,"FOREST ACT, 1927",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nagaland,"FOREST ACT, 1927",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Odisha,"FOREST ACT, 1927",5,0,2,0,1,2,1,0,0,0,0,2,1,0,0,20
Punjab,"FOREST ACT, 1927",2,5,5,0,12,2,1,5,1,4,2,0,0,0,1,0
Rajasthan,"FOREST ACT, 1927",1997,2470,2362,2416,3340,3497,3682,3055,2666,1828,1191,1733,1691,1203,1358,1508
Sikkim,"FOREST ACT, 1927",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,"FOREST ACT, 1927",0,4,8,3,2,12,26,32,31,14,1,0,3,3,3,1
Tripura,"FOREST ACT, 1927",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,"FOREST ACT, 1927",1602,1455,1765,1659,2021,1942,1795,1527,1442,1311,1815,2553,1964,1547,1604,1768
Uttarakhand,"FOREST ACT, 1927",68,72,71,85,53,44,68,90,34,41,29,196,117,119,69,66
West Bengal,"FOREST ACT, 1927",0,1,14,5,5,4,18,12,17,6,25,0,0,0,0,1
A&N Islands,"FOREST ACT, 1927",0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
Chandigarh,"FOREST ACT, 1927",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,"FOREST ACT, 1927",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,"FOREST ACT, 1927",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,"FOREST ACT, 1927",0,0,0,1,0,1,0,2,41,41,13,0,0,0,0,8
Lakshadweep,"FOREST ACT, 1927",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,"FOREST ACT, 1927",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
INDIA,"FOREST ACT, 1927",4347,4682,5082,4802,6004,7448,6467,20407,4901,3968,3715,5548,4710,3707,3818,4168
Andhra Pradesh,OTHER SLL CRIMES,550722,639408,193821,398472,562192,198120,9392,6240,6216,6219,3442,480931,451210,423595,408597,462122
Arunachal Pradesh,OTHER SLL CRIMES,30,17,28,78,44,22,27,39,34,19,12,26,22,18,52,20
Assam,OTHER SLL CRIMES,2434,2791,1240,838,732,693,931,1130,1105,772,1467,1192,1380,783,2130,1137
Bihar,OTHER SLL CRIMES,1253,1298,1282,1133,1041,2019,1723,3612,2889,2986,1424,1315,2034,1893,1361,1092
Chattisgarh,OTHER SLL CRIMES,117215,176435,222583,182451,217404,253726,240917,193199,259990,215149,682,103241,115341,166480,116559,211651
Goa,OTHER SLL CRIMES,2564,2207,1715,1895,2133,2098,1635,2567,2281,84,71,596,677,1690,3200,2491
Gujarat,OTHER SLL CRIMES,24183,26073,26983,27298,24495,23057,23276,26511,41504,38496,22693,37945,34680,34750,32750,37219
Haryana,OTHER SLL CRIMES,1527,2026,2045,2084,4423,5502,5195,21652,2512,2637,3030,2864,2424,1775,1788,1890
Himachal Pradesh,OTHER SLL CRIMES,275,336,330,267,199,212,224,223,91,151,123,123,137,110,135,138
Jammu & Kashmir,OTHER SLL CRIMES,226,281,187,244,282,208,287,201,106,92,364,251,380,165,191,184
Jharkhand,OTHER SLL CRIMES,578,628,963,1138,1371,1470,1293,2325,1174,2333,1661,271,341,567,335,1056
Karnataka,OTHER SLL CRIMES,2973,3070,3932,3442,2794,3283,3636,4405,4982,9402,8273,4214,4132,2889,3243,2536
Kerala,OTHER SLL CRIMES,45124,77985,127028,140638,181234,197445,292910,351035,342736,327329,370495,20228,23622,30516,40344,45683
Madhya Pradesh,OTHER SLL CRIMES,112173,134561,120025,68217,66953,49527,26586,3068,14334,2309,2089,85060,130383,83466,127148,151119
Maharashtra,OTHER SLL CRIMES,23017,21428,31517,46126,42357,38981,37975,40599,35195,38148,55415,23076,19500,20826,20748,23759
Manipur,OTHER SLL CRIMES,420,687,1001,853,887,1092,1324,578,47,15,27,990,601,464,351,431
Meghalaya,OTHER SLL CRIMES,10,5,19,33,17,26,57,60,62,29,43,30,12,206,19,9
Mizoram,OTHER SLL CRIMES,562,472,392,405,490,613,416,167,189,14,131,649,780,721,520,718
Nagaland,OTHER SLL CRIMES,65,64,117,48,76,66,89,72,105,124,100,196,166,93,141,117
Odisha,OTHER SLL CRIMES,135,870,107,636,627,512,616,565,732,302,153,540,232,162,102,85
Punjab,OTHER SLL CRIMES,567,881,510,693,700,645,1836,2932,2555,1591,1119,867,782,567,518,613
Rajasthan,OTHER SLL CRIMES,7370,8232,9856,10553,13218,20878,31725,33241,14554,16095,19736,4328,5071,4723,4382,4254
Sikkim,OTHER SLL CRIMES,7,16,48,78,157,160,98,163,146,112,198,35,7,21,11,141
Tamil Nadu,OTHER SLL CRIMES,333895,351550,355325,407907,405165,415690,442173,394051,188073,119823,151676,226899,302017,322954,459944,394539
Tripura,OTHER SLL CRIMES,6,2,27,6,7,0,15,18,17,1,4,1,3,6,2,4
Uttar Pradesh,OTHER SLL CRIMES,1083404,1328161,1755807,2179607,1960751,1791597,1545748,1841930,2272444,2386227,12846,385571,480268,622313,752262,914652
Uttarakhand,OTHER SLL CRIMES,114413,134621,144835,181134,156111,75234,123084,164883,166999,83893,0,34465,38971,41973,60486,121645
West Bengal,OTHER SLL CRIMES,2106,1743,2629,2816,3179,3966,4391,9312,2080,2106,4596,1183213,1148275,1051337,1272639,4179
A&N Islands,OTHER SLL CRIMES,701,699,891,1165,831,741,9,11,2,1,2,470,336,394,425,537
Chandigarh,OTHER SLL CRIMES,82,126,31,45,67,59,124,114,45,65,45,203,151,58,86,47
D&N Haveli,OTHER SLL CRIMES,0,1,0,0,35,1,0,1,1,0,0,17,3,7,1,0
Daman & Diu,OTHER SLL CRIMES,0,0,0,0,1,0,0,0,0,0,0,1,3,0,1,0
Delhi,OTHER SLL CRIMES,2735,1436,2028,1006,904,876,1680,2562,4777,2669,1289,1180,2566,1983,1517,379
Lakshadweep,OTHER SLL CRIMES,2,8,7,5,1,0,2,5,4,3,6,0,1,0,2,1
Puducherry,OTHER SLL CRIMES,814,829,867,870,776,997,838,562,821,520,612,993,848,1083,1156,993
INDIA,OTHER SLL CRIMES,2431588,2918947,3008176,3662181,3651654,3089516,2800232,3108033,3368802,3259716,663824,2601981,2767356,2818588,3313146,2385441
Andhra Pradesh,TOTAL SLL CRIMES,602146,711946,246829,470125,628558,262024,55235,47690,46154,32251,33897,525527,506354,463272,452858,509090
Arunachal Pradesh,TOTAL SLL CRIMES,69,56,70,132,113,69,84,142,195,181,166,56,52,50,101,73
Assam,TOTAL SLL CRIMES,3323,3831,2307,1973,1825,1608,1974,2386,3064,3849,4764,2360,2373,1633,2987,2067
Bihar,TOTAL SLL CRIMES,9159,9479,9876,10594,10119,11737,13657,17506,17445,18439,25533,8078,8674,7940,9213,9814
Chattisgarh,TOTAL SLL CRIMES,142073,200889,246835,206949,242326,273283,264017,232949,285611,245223,29163,127812,135699,193067,143472,235802
Goa,TOTAL SLL CRIMES,3958,3253,2413,2577,2868,2833,2329,3200,3006,1482,1014,1951,1992,3104,4770,3995
Gujarat,TOTAL SLL CRIMES,171085,194751,200315,213339,218751,221212,232528,255801,290914,307108,288300,161063,157027,160749,167644,174336
Haryana,TOTAL SLL CRIMES,22221,19526,23155,23143,21775,22235,29733,49145,35522,47523,54584,25027,27915,27825,25167,22600
Himachal Pradesh,TOTAL SLL CRIMES,5003,3665,4067,4103,3760,4563,3380,1983,2962,3214,3863,4016,4165,4420,4703,4491
Jammu & Kashmir,TOTAL SLL CRIMES,2816,2382,1945,2033,2049,2086,1950,1517,1605,1727,2123,2997,2874,3002,2638,2735
Jharkhand,TOTAL SLL CRIMES,2536,2697,3170,3635,3932,3665,4490,5900,6321,7861,7107,1742,1735,2024,1729,3419
Karnataka,TOTAL SLL CRIMES,15729,16046,19651,17225,16174,17233,17795,22710,25665,32019,31077,19319,17983,15576,15378,17097
Kerala,TOTAL SLL CRIMES,54176,88726,141788,166374,225458,246633,352289,406848,403576,396334,447773,31598,34954,41055,52110,57821
Madhya Pradesh,TOTAL SLL CRIMES,183669,196849,184452,127778,129574,118319,104510,91191,101746,90046,100736,151386,204479,162825,201118,227901
Maharashtra,TOTAL SLL CRIMES,129397,120310,120138,135418,127940,130222,130980,124124,134981,147766,169152,202160,192768,174606,169317,142293
Manipur,TOTAL SLL CRIMES,483,753,1086,917,979,1218,1497,752,868,1004,928,1179,829,615,452,538
Meghalaya,TOTAL SLL CRIMES,85,123,157,167,135,132,204,209,304,327,216,149,98,376,125,136
Mizoram,TOTAL SLL CRIMES,977,824,692,742,832,908,696,564,435,347,375,1133,1196,1008,776,1214
Nagaland,TOTAL SLL CRIMES,308,305,398,339,408,342,325,480,514,629,532,499,528,342,482,414
Odisha,TOTAL SLL CRIMES,12760,12162,11163,12731,12049,12353,16003,18466,19088,19848,22105,11191,11130,11642,13775,13344
Punjab,TOTAL SLL CRIMES,20730,22612,20044,17911,18338,16406,23677,27616,27812,22253,17732,22883,26111,25739,24294,26592
Rajasthan,TOTAL SLL CRIMES,35942,37631,40359,43780,49810,58982,71604,72155,58140,64096,70749,31911,34451,33850,31302,31072
Sikkim,TOTAL SLL CRIMES,143,190,81,86,164,171,210,284,200,184,211,51,126,175,156,369
Tamil Nadu,TOTAL SLL CRIMES,449207,474963,491797,543266,515788,526208,549064,493099,311879,254604,287473,510950,571008,576863,636211,533721
Tripura,TOTAL SLL CRIMES,206,175,245,208,178,148,207,336,260,172,148,69,71,78,110,213
Uttar Pradesh,TOTAL SLL CRIMES,1189216,1444342,1901712,2343444,2113620,1890833,1626067,1916743,2393330,2549421,211854,478237,574630,730661,857586,1010654
Uttarakhand,TOTAL SLL CRIMES,120325,140428,149626,186738,160196,78296,126538,168414,170767,88618,5207,39548,43754,47383,65390,126953
West Bengal,TOTAL SLL CRIMES,7588,6453,6956,7092,7434,11635,12334,19618,20708,26777,27831,1193034,1158861,1058493,1278298,9235
A&N Islands,TOTAL SLL CRIMES,6526,5304,4900,5177,4430,3772,2186,2046,2122,2197,1689,3578,4316,6003,7028,7114
Chandigarh,TOTAL SLL CRIMES,917,853,605,556,517,687,1467,1355,1457,1865,1260,778,740,1125,1030,803
D&N Haveli,TOTAL SLL CRIMES,9,15,16,18,42,19,21,15,20,34,12,42,16,20,25,25
Daman & Diu,TOTAL SLL CRIMES,3,13,12,10,10,11,13,21,19,17,16,14,9,2,10,5
Delhi,TOTAL SLL CRIMES,30372,20994,6754,4053,4667,5896,6080,6616,9908,8599,7401,13749,18272,21910,25136,26573
Lakshadweep,TOTAL SLL CRIMES,13,10,7,7,17,11,30,22,34,15,14,10,4,1,5,7
Puducherry,TOTAL SLL CRIMES,997,1178,1104,1232,1081,1404,1197,753,998,669,799,1133,1004,1260,1370,1219
INDIA,TOTAL SLL CRIMES,3224167,3743734,3844725,4553872,4525917,3927154,3654371,3992656,4377630,4376699,1855804,3575230,3746198,3778694,4196766,3203735
