STATE/UT,CRIME HEAD,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Daman & Diu,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,PROHIBITION ACT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lakshadweep,PROHIBITION ACT,9,0,0,0,11,8,16,10,12,6,2,10,3,1,3,4
Puducherry,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDIA,PROHIBITION ACT,315883,344356,361940,387029,385670,399257,416749,420113,467111,500757,510646,509077,488189,467216,378919,326190
Andhra Pradesh,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,351,313,361,555,322,271,210,214,273,426,261,488,524,422,474,369
Arunachal Pradesh,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,3,3,4,8,3,6,4,0,4,6,1,2,6,1,3,2
Assam,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,137,143,158,182,173,110,115,125,77,88,83,75,51,41,93,117
Bihar,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,272,140,144,163,129,137,118,90,108,70,101,378,264,221,339,388
Chattisgarh,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,283,212,254,158,162,163,195,232,199,268,191,207,267,243,187,280
Goa,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,1,3,0,0,2,1,0,3,0,1,0,3,1,2,0,0
Gujarat,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,59,150,92,79,56,47,80,55,44,107,564,46,75,55,62,146
Haryana,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,41,25,29,25,71,33,45,50,20,53,48,32,48,40,17,37
Himachal Pradesh,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,4,6,2,7,7,4,2,1,2,6,2,8,10,4,3,6
Jammu & Kashmir,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,214,135,92,63,47,29,17,28,33,34,40,353,312,238,201,228
Jharkhand,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,104,71,73,97,87,77,86,70,71,84,87,67,52,72,52,96
Karnataka,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,85,80,81,83,119,79,106,86,82,85,76,64,70,88,69,97
Kerala,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,439,351,413,496,466,631,443,462,444,373,782,377,352,361,356,323
Madhya Pradesh,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,234,229,198,195,285,225,243,267,189,398,248,331,377,292,257,197
Maharashtra,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,96,63,71,39,51,57,60,57,33,88,65,61,58,77,66,65
Manipur,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,8,15,21,10,9,28,41,29,31,23,28,15,14,4,10,11
Meghalaya,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,4,10,7,13,8,11,3,4,11,4,15,6,5,11,7,4
Mizoram,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,8,6,8,1,2,13,4,6,20,6,6,7,4,11,3,8
Nagaland,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,12,12,7,6,5,8,18,21,7,26,7,3,7,7,2,4
Odisha,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,90,90,132,149,155,154,317,273,167,165,229,99,77,88,107,65
Punjab,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,13,16,9,14,29,15,12,5,11,7,7,15,24,11,17,24
Rajasthan,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,210,258,393,341,476,490,610,609,592,824,864,389,371,302,282,206
Sikkim,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,2,1,12,1,1,3,1,2,0,2,0,3,1,1,3,4
Tamil Nadu,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,378,306,284,526,350,325,605,540,689,545,464,360,427,260,397,431
Tripura,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,1,0,5,0,2,0,0,1,0,0,0,0,6,7,3,1
Uttar Pradesh,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,893,1261,1088,1050,834,505,498,397,539,456,444,960,1094,872,1053,978
Uttarakhand,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,2,4,8,24,5,0,4,3,7,2,2,10,6,9,10,8
West Bengal,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,69,64,83,117,133,212,169,226,166,208,253,134,100,106,112,94
A&N Islands,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,1,5,0,2,2,1,1,1,0,0,1,2,1,2,1,1
Chandigarh,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,3,0,2,1,0,0,0,1,0,0,0,2,3,3,2,4
D&N Haveli,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,0,2,1,2,0,1,0,1,0,0,0,2,0,0,0,0
Daman & Diu,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,44,37,33,1,17,23,8,13,18,9,14,28,26,12,56,60
Lakshadweep,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Puducherry,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,6,7,2,11,13,10,11,3,6,4,17,2,1,1,4,0
